Team,Manager,Captain,Kit manufacturer,Shirt sponsor (chest),Shirt sponsor (left sleeve)
Arsenal,Arsène Wenger,Per Mertesacker[25],Puma[26],Emirates[27],
Bournemouth,Eddie Howe,Simon Francis[28],Umbro[29],M88[30],Mansion Group[31]
Brighton & Hove Albion,Chris Hughton,Bruno[32],Nike[33],American Express[33],JD[34]
Burnley,Sean Dyche,Tom Heaton[35],Puma[36],Dafabet[37],Golf Clash[38]
Chelsea,Antonio Conte,Gary Cahill[39],Nike[40],Yokohama Tyres[41],Alliance Tyres[42]
Crystal Palace,Roy Hodgson,Jason Puncheon[43],Macron[44],ManBetX[45],Dongqiudi[46]
Everton,Sam Allardyce,Phil Jagielka,Umbro[47],SportPesa[48],Angry Birds[49]
Huddersfield Town,David Wagner,Tommy Smith[50],Puma[51],OPE Sports[52],PURE Legal[53]
Leicester City,Claude Puel,Wes Morgan[54],Puma[55],King Power[56],Siam Commercial Bank[57]
Liverpool,Jürgen Klopp,Jordan Henderson[58],New Balance[59],Standard Chartered[60],Western Union[61]
Manchester City,Pep Guardiola,Vincent Kompany[62],Nike[63],Etihad Airways[64],Nexen Tire[65]
Manchester United,José Mourinho,Michael Carrick[66],Adidas[67],Chevrolet[68],
Newcastle United,Rafael Benítez,Jamaal Lascelles,Puma[69],Fun88[70],MRF Tyres[71]
Southampton,Mark Hughes,Steven Davis,Under Armour[72],Virgin Media[73],Virgin Media
Stoke City,Paul Lambert,Ryan Shawcross[74],Macron[75],bet365[76],Top Eleven[77]
Swansea City,Carlos Carvalhal,Àngel Rangel[78],Joma[79],Letou[80],Barracuda Networks[81]
Tottenham Hotspur,Mauricio Pochettino,Hugo Lloris[82],Nike[83],AIA[84],
Watford,Javi Gracia,Troy Deeney[85],Adidas[86],FxPro,138.com
West Bromwich Albion,Darren Moore (caretaker),Jonny Evans[87],Adidas[88],Palm[89],12BET[90]
West Ham United,David Moyes,Mark Noble[91],Umbro[92],Betway[93],MRF Tyres[94]
